Geographic Area Name;Estimate!!HOUSEHOLDS BY TYPE!!Total households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families);Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!With own children of the householder under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Married-couple family!!With own children of the householder under 18 years;"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Male householder, no wife present, family!!With own children of the householder under 18 years";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family";"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Family households (families)!!Female householder, no husband present, family!!With own children of the householder under 18 years";Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Nonfamily households!!Householder living alone!!65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size;Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size;Estimate!!RELATIONSHIP!!Population in households;Estimate!!RELATIONSHIP!!Population in households!!Householder;Estimate!!RELATIONSHIP!!Population in households!!Spouse;Estimate!!RELATIONSHIP!!Population in households!!Child;Estimate!!RELATIONSHIP!!Population in households!!Other relatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives;Estimate!!RELATIONSHIP!!Population in households!!Nonrelatives!!Unmarried partner;Estimate!!MARITAL STATUS!!Males 15 years and over;Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced;Estimate!!MARITAL STATUS!!Females 15 years and over;Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married;"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated";Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated;Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed;Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school;"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool";Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten;Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12);Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade;"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency);"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree";Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher;Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher;Estimate!!VETERAN STATUS!!Civilian population 18 years and over;Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over;Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability
"Walker County, Texas";22693;13354;6285;9709;4008;791;557;2854;1720;9339;6758;2328;6971;6036;2.34;2.86;53171;22693;9813;11970;3079;5616;518;35224;14182;13337;129;1108;6468;27873;11693;11012;284;2311;2573;21006;467;408;5965;1672;12494;46272;2586;3551;18693;9628;2174;6358;3282;40135;9640;61518;4047;57066;4383;10740;70;37915;1705;8411;2608
"Webb County, Texas";75300;59208;32747;37335;21236;5803;2031;16070;9480;16092;13599;5836;39562;19124;3.62;4.20;272385;75300;37602;111549;40111;7823;4149;97434;41349;45835;2214;1232;6804;102990;35290;43243;4217;8549;11691;89794;4895;5996;41054;21091;16758;153546;28690;23691;32814;26579;11283;22514;7975;101165;30489;185251;3235;273632;31629;90583;4836;157393;15155;25656;11638
"Weber County, Utah";85615;63224;30399;48327;22237;4737;2466;10160;5696;22391;17427;6388;32793;21085;2.96;3.42;253278;85615;48595;91569;13012;14487;5899;97919;30985;52681;2140;1489;10624;97973;24723;51594;2543;5797;13316;73199;3085;3489;33491;16487;16647;159230;4273;10703;43552;46944;15181;27030;11547;144254;38577;183577;14769;253837;26740;72428;3041;152260;15096;29149;8603
"Chittenden County, Vermont";66095;37668;13836;30181;10327;2422;1121;5065;2388;28427;19333;6982;15607;18406;2.34;2.93;154667;66095;30629;37034;5152;15757;4561;68494;30445;30680;201;1184;5984;72129;26465;32273;287;5460;7644;46093;3074;1793;13145;7206;20875;109143;1127;3773;18440;17173;9808;37090;21732;104243;58822;134863;6836;163043;18290;29145;1517;108503;10087;25395;6686
"James City County, Virginia";29849;21705;6447;18402;4580;1073;898;2230;969;8144;6640;3544;7049;11918;2.52;2.93;75360;29849;18364;20650;2773;3724;1955;30132;8316;18852;722;768;1474;33566;7345;19105;375;3255;3486;17560;461;328;8833;3201;4737;54998;277;861;11604;8406;4919;16925;12006;53860;28931;60283;9942;74833;7229;15497;195;39994;3199;19342;3835
"Roanoke County, Virginia";38061;25320;8980;20316;6454;1026;399;3978;2127;12741;10910;5044;9900;13608;2.41;2.96;91882;38061;19860;25690;4122;4149;2677;36902;10139;20821;692;1916;3334;42008;10030;21384;293;4181;6120;19864;2166;677;8710;4907;3404;68136;1085;2953;17310;12826;8475;15671;9816;64098;25487;75223;6609;92536;9685;18840;880;54440;4663;19256;4142
"Rockingham County, Virginia";31462;22397;8837;18017;7016;1646;873;2734;948;9065;8215;3858;9287;10739;2.53;3.00;79474;31462;17942;22713;4043;3314;1902;32023;8662;18805;120;997;3439;34563;8677;18230;1320;3442;2894;19531;777;819;8121;4373;5441;55843;3074;4338;20556;8448;4217;8930;6280;48431;15210;63454;4109;80915;9978;17790;671;48066;4590;15059;4717
"Newport News city, Virginia";71291;41824;18264;26902;9357;3918;2245;11004;6662;29467;24688;7873;20827;17432;2.38;3.11;170023;71291;26676;50312;11091;10653;4162;69116;29113;29845;2372;1116;6670;74671;27245;29136;3459;5905;8926;46012;2516;1790;18675;7472;15559;115694;3446;5853;33813;29313;10944;22305;10020;106395;32325;130179;20278;170028;26227;41140;2942;106199;14895;22689;8390
"Norfolk city, Virginia";89338;51345;22270;29676;11169;5271;2836;16398;8265;37993;30961;8938;25919;20754;2.43;3.14;217313;89338;29829;60375;19597;18174;5793;106074;54806;37529;2099;1744;9896;96715;40511;31759;3623;7833;12989;62412;3942;3140;20403;8106;26821;153046;5207;15184;35643;40212;11840;27775;17185;132655;44960;169273;26555;215095;32622;47708;3598;140687;18287;26700;10737
"Portsmouth city, Virginia";34578;19958;7662;11465;3422;2016;1206;6477;3034;14620;11978;5355;9318;10528;2.62;3.41;90550;34578;11401;28351;8300;7920;2542;36195;15734;12998;658;1326;5479;39712;14064;12956;1970;4558;6164;20658;1381;1357;9154;4093;4673;63763;1462;4440;22520;18490;5590;6739;4522;57861;11261;69275;8881;89076;11248;21584;688;53838;5609;13654;4951
"Virginia Beach city, Virginia";172183;116678;49206;88083;35068;8458;3308;20137;10830;55505;43898;16693;54922;46401;2.56;3.07;440638;172183;87989;127027;26112;27327;8710;178666;60863;92165;3668;4980;16990;188285;52021;94304;3678;14383;23899;112052;7949;5427;43634;22454;32588;309053;5792;11972;64437;80473;29997;71855;44527;291289;116382;328196;56539;424989;51391;99385;4510;262317;26023;63287;20858
"Chelan County, Washington";31587;20322;9529;15805;6413;1483;929;3034;2187;11265;8994;3547;9937;11149;2.40;2.99;75674;31587;15921;21561;2885;3720;2606;30641;8019;17575;463;669;3915;31121;7736;16611;891;2341;3542;16889;1021;1870;7321;3736;2941;53291;4055;4691;15151;9502;5847;8356;5689;44545;14045;58983;4814;76397;14735;18036;1823;44271;7288;14090;5624
"Berkeley County, West Virginia";45800;29077;12226;23335;8309;1454;1093;4288;2824;16723;12393;4619;13650;12849;2.54;3.13;116521;45800;23193;33553;5263;8712;4428;47579;12470;25852;1370;1458;6429;47881;12778;22955;694;3703;7751;27084;1164;1771;11381;7174;5594;80944;2809;5526;29974;17131;7909;12131;5464;72609;17595;89591;11419;116562;16138;27207;545;71857;9126;17498;6467
"Wood County, West Virginia";36064;22130;8882;17532;5988;1481;816;3117;2078;13934;11499;5485;10062;12349;2.31;2.93;83157;36064;17666;21549;3416;4462;3029;33230;9860;17649;577;965;4179;36193;8440;18534;297;4545;4377;16567;1211;602;8007;4143;2604;60123;1462;3939;21212;14053;7051;7975;4431;54722;12406;66391;7574;83654;15162;17730;963;49090;7928;16834;6271
"Kenosha County, Wisconsin";62950;41835;16705;30098;11070;3959;1548;7778;4087;21115;16326;6933;18539;17004;2.62;3.14;165195;62950;30210;48857;10384;12794;3418;67960;27154;32405;281;1028;7092;70287;21906;31466;1707;4856;10352;43362;2031;1745;18310;10050;11226;114235;5017;6740;31079;29211;13129;19403;9656;102478;29059;130247;10011;167332;20299;38562;2059;105766;11146;23004;7094
"Marathon County, Wisconsin";56245;37425;15558;31293;12636;2140;943;3992;1979;18820;15109;7023;17177;17186;2.38;2.88;133818;56245;31424;35534;3500;7115;3497;55262;15786;32568;446;1363;5099;54899;12132;32470;271;4640;5386;30371;1827;1521;14454;7142;5427;93602;3139;4123;30777;15474;14155;17474;8460;86340;25934;104574;7023;134394;15665;30821;1349;80428;7562;23145;6754
"Natrona County, Wyoming";32240;20266;9564;15847;6122;1314;846;3105;2596;11974;9018;3764;10881;8531;2.40;2.97;77434;32240;15861;21149;2918;5266;3563;31673;9264;16380;587;1182;4260;31942;7739;16748;286;2031;5138;18479;915;1025;8353;4289;3897;54037;802;2659;13498;16367;7192;8577;4942;50576;13519;59836;5893;77768;9894;18832;597;47410;4630;11526;4667
"Houston County, Alabama";38861;25002;9378;17935;5929;1346;518;5721;2931;13859;12116;5131;10839;12880;2.67;3.40;103703;38861;17997;33645;8257;4943;1821;39984;13485;19763;769;1233;4734;44986;12757;19499;1474;4655;6601;24716;1052;1723;11212;5367;5362;72189;2352;7459;23099;17324;6899;9583;5473;62378;15056;80417;7311;103701;16817;24010;725;61204;9050;18487;7042
"Marshall County, Alabama";36022;24111;9867;17683;6268;1000;611;5428;2988;11911;10238;4097;11503;11067;2.64;3.24;95090;36022;17771;30502;5808;4987;1645;37259;11427;19772;476;1042;4542;38788;9172;18152;792;5124;5548;22903;849;1234;10834;5946;4040;64311;3778;7367;19795;13453;5364;9316;5238;53166;14554;72089;5955;95233;13569;23952;778;55303;6567;15978;6224
"Montgomery County, Alabama";87553;54249;21941;32915;11337;3863;1649;17471;8955;33304;29277;10029;26458;24662;2.50;3.23;218704;87553;33122;67264;20733;10032;5117;84122;34319;34688;2598;2134;10383;97808;39119;35121;2067;8393;13108;56087;2222;3019;23294;12842;14710;151336;7241;13665;41148;30847;11046;26299;21090;130430;47389;171474;15616;220766;38834;52429;3055;135076;21586;33261;14193
"Navajo County, Arizona";34285;22926;8176;14676;4210;2539;822;5711;3144;11359;10258;5147;11052;14116;3.14;3.93;107556;34285;14544;35899;16735;6093;1723;42566;17670;16531;1763;1557;5045;43245;15037;16781;1765;4559;5103;26271;981;772;15393;6031;3094;72071;4164;7592;22579;21967;5490;5934;4345;60315;10279;81102;6801;108057;20078;29285;1582;58705;10313;20067;8183
"Craighead County, Arkansas";42631;26748;12543;17865;6849;1773;847;7110;4847;15883;13148;4044;13859;10958;2.46;3.05;104816;42631;17868;31787;5287;7243;2738;41162;14582;18305;731;1225;6319;44578;13020;19439;844;4723;6552;30858;2532;1000;12024;5832;9470;69708;3191;4727;24407;13227;4618;12467;7071;61790;19538;81408;5496;107661;18413;27131;2397;65970;8721;14560;7295
"San Bernardino County, California";638647;486914;219073;337606;147640;46742;21469;102566;49964;151733;118880;48360;263205;175880;3.33;3.81;2125510;638647;336599;747646;286021;116597;43048;837904;332883;408385;14878;17495;64263;858538;287781;387667;24070;68023;90997;616035;30299;31744;251164;135547;167281;1374552;124339;149825;367046;321769;117019;191474;103080;1100388;294554;1588557;90309;2129783;220792;571598;19777;1311565;105630;246620;95385
"San Diego County, California";1130911;761247;327079;561723;237726;63092;24870;136432;64483;369664;267928;103117;364157;319472;2.87;3.44;3249070;1130911;561684;1002154;295388;258933;77517;1372550;562134;651089;20655;27357;111315;1364875;436729;630898;28964;96751;171533;859125;50392;42532;307988;170226;287987;2277779;153702;135808;420657;507308;186496;526304;347504;1988269;873808;2542722;208327;3239327;317944;720719;21976;2055620;145518;462988;150450
"San Joaquin County, California";231917;174492;83520;118379;56287;17477;7021;38636;20212;57425;45527;19028;94654;68155;3.17;3.64;734579;231917;118180;256245;85955;42282;15438;287856;113782;139379;4420;7137;23138;295221;94148;133295;7841;27114;32823;210766;13971;11233;92414;49220;43928;475624;52224;42183;146372;102248;47241;58966;26390;381217;85356;548072;31213;741862;92822;204078;6154;445189;50683;92595;35985
"Santa Barbara County, California";146224;100497;40911;74329;27736;9880;5172;16288;8003;45727;32420;15513;46815;47584;2.92;3.33;426767;146224;74189;127194;32421;46739;11237;180953;78013;82928;2437;4175;13400;182081;65504;82418;2934;12524;18701;135797;6546;4956;43802;22312;58181;277167;31214;20166;52227;54026;23114;55568;40852;225787;96420;345362;19857;439566;46237;99259;4505;273092;22392;67215;19340
"Tulare County, California";139197;103190;51597;72127;34786;10923;5695;20140;11116;36007;29784;11998;58962;34956;3.31;3.91;460420;139197;71897;179378;48748;21200;10359;172278;68667;81794;4427;3881;13509;174161;57238;81255;6049;12079;17540;143446;5617;7180;66675;33265;30709;275220;50846;28674;70194;58953;22752;27845;15956;195700;43801;322285;14848;461439;52398;142801;5873;267262;25554;51376;20971
"Mesa County, Colorado";61848;37310;15754;26056;9108;2595;1303;8659;5343;24538;19258;9204;17826;20681;2.42;3.02;149923;61848;25742;40799;8776;12758;3269;60700;20168;29491;547;2611;7883;64491;16719;26639;1549;8302;11282;36856;1373;1489;16208;7821;9965;104672;2649;7276;28088;25824;9478;20202;11155;94747;31357;119498;12187;152265;22480;33624;1589;90202;10198;28439;10693
"Hartford County, Connecticut";348049;223589;96428;156334;61850;17779;9026;49476;25552;124460;105440;44334;104193;107466;2.50;3.13;868771;348049;156509;267028;52088;45097;20162;356510;139395;172099;2282;9629;33105;383473;126157;168146;6681;33561;48928;214790;13160;9951;84161;49153;58365;624539;25587;36009;166953;101404;54121;135631;104834;562943;240465;704893;37833;881056;101448;187175;9118;546220;46954;147661;45376
"Windham County, Connecticut";44571;29594;10744;22088;6839;2341;1125;5165;2780;14977;11219;4019;11741;12865;2.50;3.02;111365;44571;22074;31249;6548;6923;3864;48388;18625;23744;688;1208;4123;50562;16047;23472;873;3902;6268;29404;1301;1190;10558;5547;10808;82054;2232;6092;27297;18359;8416;12358;7300;73730;19658;94002;7552;115137;15844;22712;785;74290;8259;18135;6800
"Bay County, Florida";73856;49233;19206;35562;12564;3914;1220;9757;5422;24623;20726;8137;20917;22341;2.48;3.04;183074;73856;35634;51444;13408;8732;3437;74951;23736;37497;1518;2709;9491;76870;17168;36986;1690;9664;11362;41401;3329;2696;17587;8610;9179;129075;4308;7929;43193;30492;13820;19702;9631;116838;29333;142143;21316;180374;39878;39630;3250;110577;22652;30167;13976
"Broward County, Florida";694980;439980;169424;299258;107904;38400;14425;102322;47095;255000;209779;81792;191695;220200;2.78;3.54;1933847;694980;299026;604660;214718;120463;45128;777360;302419;352934;15797;20404;85806;831898;266862;339239;23433;70847;131517;472715;31625;21451;188079;99005;132555;1383363;63263;86176;376579;276389;133593;273487;173876;1233924;447363;1538428;71158;1939072;219549;411599;14986;1207410;99368;320063;105195
"Collier County, Florida";144172;97654;27833;80401;17270;5273;2774;11980;7789;46518;40226;24323;30927;76651;2.60;3.10;374577;144172;80181;90775;33716;25733;8519;159063;43214;91234;3097;5231;16287;166518;32725;88059;1710;19641;24383;65778;2790;2437;31282;15802;13467;288700;19638;17734;67746;49545;23585;65301;45151;251328;110452;313920;27244;376691;47600;64476;2562;190382;11964;121833;33074
"Escambia County, Florida";118820;70583;22825;49197;15026;5797;1254;15589;6545;48237;36838;13893;27378;38281;2.51;3.22;297754;118820;49250;82527;24940;22217;8213;127783;49748;54106;3062;5115;15752;131993;42573;52659;2983;12699;21079;76195;4531;4490;28354;15712;23108;213696;4800;13458;59290;54845;23371;37103;20829;195438;57932;242590;31250;302005;42709;65548;2113;185368;24320;51089;16276
"Miami-Dade County, Florida";895801;622526;243834;394815;154216;60883;19513;166828;70105;273275;219017;84484;286598;294464;3.03;3.65;2716712;895801;394147;867387;390839;168538;56817;1103342;437669;499803;24341;26631;114898;1193197;396522;460943;46896;108875;179961;676289;51009;30938;248281;133988;212073;1971126;178730;166027;529601;292060;184806;391447;228455;1626369;619902;2201424;50492;2738060;276505;558289;18746;1738830;111210;440941;146549
"Bartow County, Georgia";35506;26858;11811;20561;8923;1676;757;4621;2131;8648;7128;2247;13147;9484;2.97;3.40;105315;35506;20569;35416;8522;5302;2226;41753;11288;22822;904;1324;5415;44282;9891;22619;1252;3358;7162;23847;1338;893;10828;7071;3717;70243;3527;6798;26524;16277;4868;8144;4105;59918;12249;81034;3857;105254;13308;25264;1117;65550;6258;14440;5933
"Elkhart County, Indiana";73660;53807;24048;39610;15651;4069;2187;10128;6210;19853;16514;6355;26803;19492;2.74;3.19;201953;73660;39632;66001;12137;10523;4970;77168;24370;43610;740;1690;6758;81039;22372;42256;1453;6235;8723;47294;2043;2925;26035;10494;5797;130591;10056;13884;45415;24964;10109;17224;8939;106651;26163;148837;9015;202850;25638;56402;2385;117717;13481;28731;9772
"Marion County, Indiana";373634;206317;90843;129717;46504;18235;9834;58365;34505;167317;137914;36797;102850;86418;2.51;3.35;938549;373634;129529;282212;74064;79110;28577;357256;162722;144355;5969;8908;35302;398207;159852;141967;8717;28050;59621;235468;11894;11995;104850;49777;56952;631252;32776;55793;175962;123093;46363;131109;66156;542683;197265;718724;45576;944698;121902;234551;9318;593887;70559;116260;42025
"Morgan County, Indiana";25968;19642;7554;15295;5350;1510;826;2837;1378;6326;4983;2659;8573;7858;2.66;3.05;69066;25968;15421;21163;3586;2928;1681;27853;7849;16695;57;730;2522;29061;6071;16482;800;2386;3322;15658;967;685;7547;3325;3134;48377;1529;4873;17829;10074;4731;5815;3526;41975;9341;53760;6499;69140;9587;16262;380;41590;5645;11288;3562
"Dallas County, Iowa";35492;24120;14416;19784;11346;684;424;3652;2646;11372;9213;3296;14776;7525;2.52;3.06;89588;35492;19597;27746;2457;4296;2543;33315;9002;19882;448;900;3083;35557;7886;20717;299;2538;4117;24591;1876;1844;11850;5609;3412;58259;806;1054;11594;11149;6223;18779;8654;56399;27433;64592;4718;89756;5545;25588;393;53802;1717;10366;3435
"Butler County, Kansas";24692;18338;8421;15177;6679;1126;748;2035;994;6354;5296;2967;9210;7215;2.58;2.99;63763;24692;15040;19288;2254;2489;1248;26982;7311;15618;179;1199;2675;26085;5417;16140;12;2332;2184;19214;1461;550;8896;3879;4428;44015;823;1338;11686;11827;5263;8356;4722;41854;13078;49919;5175;64144;7342;16765;1300;37681;2853;9698;3189
"Douglas County, Kansas";48907;26355;11323;20948;8661;2155;867;3252;1795;22552;13772;4452;11936;10845;2.32;2.87;113302;48907;20862;25596;2796;15141;4023;51212;25140;21252;414;874;3532;51936;22211;21618;132;2935;5040;45175;1956;1011;10204;4584;27420;71392;630;1763;10665;13527;4690;19217;20900;68999;40117;99528;5055;120668;12564;21668;767;84070;7587;14930;4210
"Leavenworth County, Kansas";26654;18837;8679;14821;6529;1740;1000;2276;1150;7817;7158;3110;9607;7955;2.83;3.44;75540;26654;14838;25491;5576;2981;977;35097;11247;17447;916;688;4799;29661;5431;15702;600;2827;5101;20280;1252;1069;9404;4521;4034;55715;1023;2528;18760;11983;4728;10240;6453;52164;16693;59823;10464;74731;12444;19719;647;43398;6631;11614;5166
"Riley County, Kansas";26617;13019;6303;9596;3631;981;733;2442;1939;13598;9340;2021;6720;5003;2.40;2.90;63875;26617;9535;13693;1526;12504;1806;33446;20075;10622;857;736;1156;30074;14155;10466;183;1195;4075;30349;996;554;5271;2039;21489;36871;608;1557;6835;8199;2261;9466;7945;34706;17411;55967;4970;67725;7888;12188;851;48855;5495;6682;1542
"Shawnee County, Kansas";72788;44345;20479;33879;13838;2809;1939;7657;4702;28443;23521;9224;22075;22388;2.37;3.03;172445;72788;33870;48491;7473;9823;4468;68754;22783;35387;595;2555;7434;74158;20007;35484;916;6476;11275;40907;1809;2682;18300;9426;8690;120302;4507;6767;37091;27532;7519;24293;12593;109028;36886;135220;13336;173980;22723;41543;1331;100939;10768;31498;10624
"Fayette County, Kentucky";131067;75825;34092;54308;22492;5170;2856;16347;8744;55242;41958;12739;37611;30319;2.38;2.97;311308;131067;54064;79532;15959;30686;11043;128910;51286;60367;1691;2501;13065;137722;48972;56370;2676;10399;19305;90731;5710;2654;30809;12570;38988;211199;7439;10842;37717;43330;17242;51852;42777;192918;94629;256242;13435;319408;40939;67434;4042;210011;22865;41963;14032
"Caddo Parish, Louisiana";94778;57904;21892;35224;10388;5305;2139;17375;9365;36874;31985;11429;26527;29601;2.51;3.25;238063;94778;35368;73188;22015;12714;5127;90253;37572;38448;1506;3152;9575;104198;40615;38557;4266;9721;11039;57985;4676;2669;26876;12135;11629;164916;5724;16727;57005;33401;15979;22197;13883;142465;36080;184997;14883;238981;34158;57679;2511;141856;17824;39446;13823
"Livingston Parish, Louisiana";49084;35951;16594;24777;10378;3813;2445;7361;3771;13133;10135;3783;18960;13097;2.82;3.23;138550;49084;24796;44892;10632;9146;4422;52985;17193;26581;1998;1068;6145;56876;15018;26930;1702;5122;8104;32658;1706;2253;16022;7085;5592;92214;4164;7080;34653;21177;4885;13987;6268;80970;20255;103708;9234;138485;17064;35697;1570;84177;8016;18611;7478
"Rapides Parish, Louisiana";48915;32751;14852;21813;8160;3298;1980;7640;4712;16164;13902;6388;16773;15128;2.58;3.15;126278;48915;22078;38699;9474;7112;3376;49976;18121;23267;766;1640;6182;53910;15644;22772;2939;6071;6484;31642;2817;1243;14715;6938;5929;87634;2461;8092;34985;20445;3467;11745;6439;77081;18184;97924;8192;127574;21937;31601;1068;75747;12538;20226;8331
"Kennebec County, Maine";54299;31105;11933;22684;7343;2462;1283;5959;3307;23194;17923;7734;13071;17973;2.18;2.79;118351;54299;22729;28218;4606;8499;6317;49827;16678;23064;347;2044;7694;53303;11683;25057;267;4860;11436;25001;1323;1155;9999;5868;6656;88711;2087;3459;30197;20329;8558;15114;8967;83165;24081;99071;11034;120551;22290;22987;1625;73808;12563;23756;8102
"Hampshire County, Massachusetts";58902;34059;12744;26944;9303;2265;725;4850;2716;24843;19332;7868;13442;19810;2.34;2.98;137987;58902;26896;32957;7726;11506;3875;65422;30721;27516;414;1783;4988;77508;31896;30421;1299;5791;8101;55137;1629;1269;10486;6771;34982;100475;1238;3546;22698;15056;8600;22365;26972;95691;49337;137749;6378;160119;16242;23537;1389;109158;8585;27424;6268
"Clinton County, Michigan";29783;20746;7932;16865;5937;957;426;2924;1569;9037;7121;3479;8716;9139;2.64;3.11;78630;29783;16821;23482;3480;5064;1420;31839;10500;17656;150;1244;2289;32997;8738;17235;535;3210;3279;20153;1613;751;8257;4104;5428;54438;727;2890;14330;13442;7231;10910;4908;50821;15818;61519;3752;78748;10624;17700;1009;47569;6044;13479;3571
"Genesee County, Michigan";169469;104915;43111;69909;22622;9985;5710;25021;14779;64554;53022;20834;47204;52578;2.37;2.97;401852;169469;69887;115386;21647;25463;14128;157434;60343;71811;2150;5105;18025;174224;53238;74739;3010;14728;28509;93137;6471;4325;42062;22996;17283;280501;9045;16409;89613;74449;28747;39717;22521;255047;62238;315313;22563;404792;69814;91416;5229;243214;39412;70162;25173
"Lapeer County, Michigan";33560;23556;7632;18526;5219;1887;773;3143;1640;10004;8698;4128;8790;11235;2.57;3.05;86156;33560;18560;24721;5036;4279;1973;37127;11848;19577;470;992;4240;36452;8131;20228;410;3762;3921;18348;900;959;8553;4432;3504;62914;1864;3471;23493;16640;6594;7281;3571;57579;10852;69728;4579;86491;11064;18226;804;52730;4994;15535;5266
"Saginaw County, Michigan";78740;50638;20968;34125;11944;5003;2681;11510;6343;28102;23413;10526;23129;26132;2.34;2.88;184391;78740;33911;52888;8415;10437;5659;75709;28289;36419;683;2744;7574;81475;25512;35074;695;8767;11427;45591;2429;2437;18407;10338;11980;130976;3420;8312;44404;33222;14627;16854;10137;119244;26991;149882;12789;187529;32548;40615;3476;111204;16277;35710;12795
"St. Clair County, Michigan";65751;43184;15904;32585;9693;3031;1776;7568;4435;22567;18350;7417;18107;21002;2.40;2.88;157557;65751;32651;42627;5969;10559;6345;65945;20444;34728;879;2127;7767;67067;15506;33414;885;6507;10755;32505;1492;1329;14562;8851;6271;114242;2123;8562;38862;27820;14773;13874;8228;103557;22102;126179;12083;158036;27582;33110;1991;95579;13384;29347;12207
"Wright County, Minnesota";48863;35755;16137;28182;12412;3611;1648;3962;2077;13108;10369;3880;17356;11440;2.77;3.21;135178;48863;28271;45180;5737;7127;3336;52671;16930;28234;414;1076;6017;52245;12483;30642;588;2374;6158;35247;2310;2600;16238;8876;5223;88236;1675;2896;26872;19322;12612;16533;8326;83665;24859;98445;7130;135494;15251;37794;1447;80886;7089;16814;6715
"Jackson County, Mississippi";51659;33753;14701;21690;7793;2263;1167;9800;5741;17906;15427;5236;16579;15990;2.75;3.49;142080;51659;21798;50120;12039;6464;2286;55611;20719;23955;1069;1474;8394;60010;19442;24269;1143;5882;9274;36177;1303;1197;18421;8483;6773;96827;2880;6711;26537;26930;12510;13791;7468;87236;21259;108627;11751;141208;21519;33631;1271;85224;10951;22353;9297
